Partner Name,American Express MIDs,MasterCard MIDs,Visa MIDs,"Address (Building Name/Number, Street)",Postcode,Town/City,County/State,Country,Action,Scheme,Scheme ID
Harvester,9420121451,3612033,3612033,Swindon Road,DY6 9XA,WEST MIDLANDS,,,A,Harvester,122
Harvester,9421874223,3307592,3307592,Olympus Park Business Centre,GL2 4NF,GLOUCESTER,,,A,Harvester,122
Harvester,9427658190,3038478,3038478,91 Main Road,RM2 5EL,ESSEX,,,A,Harvester,122
Harvester,9427662648,2882447,2882447,St. Albans Road,WD25 0LL,WATFORD,,,A,Harvester,122
Harvester,9421713314,3362860,3362860,Cove Road,GU51 2SH,FLEET,,,A,Harvester,122
Harvester,9421300195,3042702,3042702,Watford Road,WD3 3RX,RICKMANSWORTH,,,A,Harvester,122
Harvester,9421458654,2908499,2908499,160 Plymouth Road,PL7 4NE,Plymouth Devon,,,A,Harvester,122
Harvester,9420488496,3519741,3519741,Arterial Road,SS6 7SP,ESSEX,,,A,Harvester,122
Harvester,9421892092,3042736,3042736,128 Hale Lane,HA8 9RZ,EDGWARE,,,A,Harvester,122
Harvester,9420457863,3348661,3348661,507 London Road,HP3 9BQ,HEMEL HEMPSTEAD,,,A,Harvester,122
Harvester,9427523410,3337532,3337532,Larkswood Leisure Park,E4 9EY,CHINGFORD,,,A,Harvester,122
Harvester,9420457889,3714482,3714482,Sarn Retail Park,CF31 3UD,BRIDGEND,,,A,Harvester,122
Harvester,9445937386,4273256,4273256,Brayford Wharf North,LN5 8PU,LINCOLN,,,A,Harvester,122
Harvester,9420680761,4523635,4523635,Junction 43 M4,SA10 6GZ,Neath West Glam,,,A,Harvester,122
Harvester,9421970732,1787753,1787753,Cheaney Drive,NN4 5EZ,NORTHAMPTON,,,A,Harvester,122
Harvester,9442120184,5007760,5007760,Great Southern Road,AB12 5XA,ABERDEEN,,,A,Harvester,122
Harvester,9442123402,4997102,4997102,39 London Road,GU19 5EG,BAGSHOT,,,A,Harvester,122
Harvester,9442120051,4996898,4996898,Accrington Road,BB11 5QH,BURNLEY,,,A,Harvester,122
Harvester,9442121844,4998464,4998464,Durley Chine Road,BH2 5JG,BOURNEMOUTH,,,A,Harvester,122
Harvester,9442121372,4998787,4998787,220 Belle Vue Road,BH6 3BA,BOURNEMOUTH,,,A,Harvester,122
Harvester,9442121224,4997136,4997136,Village Square,BN2 5WD,BRIGHTON,,,A,Harvester,122
Harvester,9442122156,4960100,4960100,Whitchurch Road,CH3 6AE,CHESTER,,,A,Harvester,122
Harvester,9442122016,4997110,4997110,275 High Road,CM16 6EE,EPPING,,,A,Harvester,122
Harvester,9442120739,4998654,4998654,1 Windmill Road,CR4 4HT,MITCHAM,,,A,Harvester,122
Harvester,9442122081,5007745,5007745,High Street,EN6 5BT,POTTERS BAR,,,A,Harvester,122
Harvester,9442120671,4998639,4998639,7 Haven Road,EX2 8BP,EXETER,,,A,Harvester,122
Harvester,9442121075,5009329,5009329,Longhouse Lane,FY6 8DF,POULTON-LE-FYLDE,,,A,Harvester,122
Harvester,9442119863,4968012,4968012,Old Marlow Road,HP10 9QD,HIGH WYCOMBE,,,A,Harvester,122
Harvester,9442123329,5008016,5008016,Watling Street,LU7 9NB,LEIGHTON BUZZARD,,,A,Harvester,122
Harvester,9442122248,4998738,4998738,Leisure Way,NR32 4TZ,LOWESTOFT,,,A,Harvester,122
Harvester,9442121547,4996997,4996997,710 Bury Road,OL11 5HW,ROCHDALE,,,A,Harvester,122
Harvester,9442120077,4998308,4998308,Butlers Green Road,RH16 4BB,HAYWARDS HEATH,,,A,Harvester,122
Harvester,9442121505,5007455,5007455,Ness Road,SS3 9HQ,SOUTHEND-ON-SEA,,,A,Harvester,122
Harvester,9442120689,4996781,4996781,Liebenrood Road,RG30 2ND,READING,,,A,Harvester,122
Harvester,9442121778,4996765,4996765,Stanney Lane,CH2 4HT,CHESTER,,,A,Harvester,122
Harvester,9442120150,5007703,5007703,Parsonage Way,WN7 5SJ,LEIGH,,,A,Harvester,122
Harvester,9442120747,4998662,4998662,Newcastle Road,SR5 1JT,SUNDERLAND,,,A,Harvester,122
Harvester,9442121596,4998449,4998449,Bay View Drive,CH45 3QS,WALLASEY,,,A,Harvester,122
Harvester,9442121893,4996849,4996849,Birmingham Road,CV5 9TZ,COVENTRY,,,A,Harvester,122
Harvester,9442123428,5007810,5007810,Coastguard Road,BN17 5LH,LITTLEHAMPTON,,,A,Harvester,122
Harvester,9442121083,4998548,4998548,Napier Road,G52 4DR,GLASGOW,,,A,Harvester,122
Harvester,9442120663,4998621,4998621,Unit 1 The Terrace,BN2 1PS,BRIGHTON,,,A,Harvester,122
Harvester,9442120937,4998365,4998365,3 Broxden Avenue,PH2 0PX,PERTH,,,A,Harvester,122
Harvester,9442120879,4996773,4996773,Fold Way,OL7 0PG,ASHTON-UNDER-LYNE,,,A,Harvester,122
Harvester,9442121364,5007786,5007786,Hatherley Lane,GL51 6TA,CHELTENHAM,,,A,Harvester,122
Harvester,9442120127,4998266,4998266,Barnfield Drive,PO19 6AG,CHICHESTER,,,A,Harvester,122
Harvester,9442120010,4998399,4998399,Selby Road,LS15 9JA,LEEDS,,,A,Harvester,122
Harvester,9442123469,4996872,4996872,Worcester Road,WR9 7PA,DROITWICH,,,A,Harvester,122
Harvester,9442123410,4996724,4996724,Carr Wood Road,WF10 4PS,CASTLEFORD,,,A,Harvester,122
Harvester,9442121299,5007935,5007935,St Oswalds Road,GL1 2SR,GLOUCESTER,,,A,Harvester,122
Harvester,9442119855,4996880,4996880,Mid Summer Place,SP4 7SQ,SALISBURY,,,A,Harvester,122
Harvester,9442136875,4996641,4996641,Jubilee Leisure Park,FY5 1LB,Blackpool,,,A,Harvester,122
Harvester,9442141768,5046073,5046073,Haver Hill Business Park,CB9 8QP,Haver Hill,,,A,Harvester,122
Harvester,9444912208,5888979,5888979,Tamworth Road,B75 5SA,SUTTON COLDFIELD,,,A,Harvester,122
Harvester,9444912216,5888987,5888987,Beacon Quay,TQ1 2RD,TORQUAY,,,A,Harvester,122
Harvester,9444912794,5901780,5901780,Unit 8 Halberth Retail Park,KY11 4LP,Dunfermline,,,A,Harvester,122
Harvester,9444912372,5888961,5888961,Cranes Farm Road,SS14 3TJ,Basildon,,,A,Harvester,122
Harvester,9444912422,5888938,5888938,Unit 19 Morfa Shopping Parc,SA1 2FB,Swansea,,,A,Harvester,122
Harvester,9444912448,5889001,5889001,Undercliff Road,BH5 1BN,BOURNEMOUTH,,,A,Harvester,122
Harvester,9444912463,5888953,5888953,Otterspool Drive,L17 5AL,LIVERPOOL,,,A,Harvester,122
Harvester,9444912489,5888995,5888995,Stone Road,ST4 8AA,STOKE ON TRENT,,,A,Harvester,122
Harvester,9444912661,5888946,5888946,Providence Hill,SO31 8AT,SOUTHAMPTON,,,A,Harvester,122
Harvester,9421113739,1111541,1111541,Lyndhurst Road,BH23 7DS,HAMPSHIRE,,,A,Harvester,122
Harvester,9445931694,6698369,6698369,Thamesdown Drive,SN25 2HH,SWINDON,,,A,Harvester,122
Harvester,9444122576,5280979,5280979,Dunleavey Drive,CF11 0SN,Cardiff,,,A,Harvester,122
Harvester,9445567894,6180202,6180202,Weekly Wood Avenue,NN14 1QF,KETTERING,,,A,Harvester,122
Harvester,9442120838,5007919,5007919,Wharf Road,EN3 4TD,ENFIELD,,,A,Harvester,122
Harvester,9442121125,4997128,4997128,136 Main Road,DA14 6NZ,SIDCUP,,,A,Harvester,122
Harvester,9442121323,4968160,4968160,Blackpool Road North,FY8 3RU,LYTHAM ST ANNES,,,A,Harvester,122
Harvester,9442121760,5007505,5007505,Springfield Quay,G5 8NP,GLASGOW,,,A,Harvester,122
Harvester,9442123345,5007620,5007620,Wide Lane,LS27 8PL,LEEDS,,,A,Harvester,122
Harvester,9442122164,4968137,4968137,1 Riverfield Drive,MK41 0UE,BEDFORD,,,A,Harvester,122
Harvester,9442120994,5007893,5007893,Drove Road,SN1 3AG,SWINDON,,,A,Harvester,122
Harvester,9442121513,4960084,4960084,Westwood Road,CT10 2NN,BROADSTAIRS,,,A,Harvester,122
Harvester,9444904502,5807235,5807235,Talmead,CT6 6LB,Herne Bay,,,A,Harvester,122
Harvester,9446891632,7164742,7164742,Merthyl Tydfil Leisure Centre,CF48 1UT,Merthyr Tydfil,,,A,Harvester,122
Harvester,9422459602,1034108,1034108,Buckshaw Link,PR7 7EL,Lancashire,,,A,Harvester,122
Harvester,9448629709,8825333,8825333,Wellington Avenue,GU11 1QJ,HAMPSHIRE,,,A,Harvester,122
Harvester,9445937345,6847909,6847909,Savages Wood Road,BS32 8EF,BRISTOL,,,A,Harvester,122
Harvester,9446832909,6919278,6919278,Tilleys Lane West,CM18 4BL,Staines,,,A,Harvester,122
Harvester,9446898116,7469034,7469034,Charon Way,WA5 3AX,WARRINGTON,,,A,Harvester,122
Harvester,9446887663,7068513,7068513,Unit 31 Entertainment Avenue,SE10 0DX,North Grenwich,,,A,Harvester,122
Harvester,9446889693,7104607,7104607,Unit 1 Xscape,MK9 3XS,MILTON KEYNES,,,A,Harvester,122
Harvester,9447270612,7609217,7609217,Plot Q,NN3 9HU,Northampton,,,A,Harvester,122
Harvester,9447974288,8203747,8203747,Broad Street Plaza,HX1 1UU,West Yorkshire,,,A,Harvester,122
Harvester,9446896821,7403389,7403389,Unit 14B kings Inch Road,PA4 8XQ,GLASGOW,,,A,Harvester,122
Harvester,9446895427,7334683,7334683,The Valley Centertainment,S9 2EP,Sheffield,,,A,Harvester,122
Harvester,9446903494,7561590,7561590,Unit 1 Cardigan Fields Leisure Park,LS4 2DG,LEEDS,,,A,Harvester,122
Harvester,9447270653,7596372,7596372,Ninth Avenue,DE14 2WF,Burton on Trent,,,A,Harvester,122
Harvester,9447278144,7651938,7651938,Unit 6 St Catherines Walk,SA31 1GA,Carmarthen,,,A,Harvester,122
Harvester,9446892473,7214992,7214992,Unit J Meridian Leisure Park,LE19 1JZ,Leicester,,,A,Harvester,122
Harvester,9446895435,7347826,7347826,Milton House,NG1 4AF,Nottingham,,,A,Harvester,122
Harvester,9447979402,8726911,8726911,Gateshead,NE11 9YG,Gateshead,,,A,Harvester,122
Harvester,9447978818,8622334,8622334,Ormskirk Road,L9 5AY,Merseyside,,,A,Harvester,122
Harvester,9446897456,7433477,7433477,Unit 5 Cwmbran Leisure,NP44 1QS,Gwent,,,A,Harvester,122
Harvester,9447429705,7696396,7696396,Fort Parkway,B24 9FP,BIRMINGHAM,,,A,Harvester,122
Harvester,9447974270,8203721,8203721,Stirling Road,YO30 4XY,Yorkshire,,,A,Harvester,122
Harvester,9447978784,8622284,8622284,Castle Bridge Road,NG7 1GX,Nottingham,,,A,Harvester,122
Harvester,9447891490,7852890,7852890,Cygnet Park,PE7 8FD,Peterborough,,,A,Harvester,122
Harvester,9446897886,7441181,7441181,Unit 13 The Oasis,S9 1EP,SHEFFIELD,,,A,Harvester,122
Harvester,9446897522,7427420,7427420,Southampton Road,SO50 5FX,Eastleigh,,,A,Harvester,122
Harvester,9446903411,7555097,7555097,Unit 4 Crawley Leisure Park,RH10 8LR,CRAWLEY,,,A,Harvester,122
Harvester,9447278169,7651896,7651896,The Quays,M50 3AH,Salford,,,A,Harvester,122
Harvester,9446903403,7546898,7546898,Unit 4 St Margarets Road,GL50 4FA,Cheltenham,,,A,Harvester,122
Harvester,9447429630,7670375,7670375,Unit 63A The Galleria,AL10 0XR,Hatfield,,,A,Harvester,122
Harvester,9421686957,1027116,1027116,Unit 5 Fort Shopping Centre,G34 9DL,Glasgow,,,A,Harvester,122
Harvester,9447277716,7640931,7640931,Cardinal Leisure Park,IP1 1AX,Ipswich,,,A,Harvester,122
Harvester,9447277757,7630759,7630759,18-19 Church Street,CF10 1BG,CARDIFF,,,A,Harvester,122
Harvester,9447270687,7621311,7621311,202 Southbury Road,EN1 1UY,ENFIELD,,,A,Harvester,122
Harvester,9447270711,7621329,7621329,The Printworks,M4 2BS,Manchester,,,A,Harvester,122
Harvester,9447270646,7609183,7609183,Unit 13 Star City,B7 5SA,Nechells,,,A,Harvester,122
Harvester,9447270620,7609191,7609191,The Sky Dome,CV1 3AZ,Coventry,,,A,Harvester,122
Harvester,9423456524,1051230,1051230,Seven Stiles Avenue,NP19 4QR,Gwent,,,A,Harvester,122
Harvester,9422459594,1032078,1032078,Nacton Road,IP3 9GF,Ipswich,,,A,Harvester,122
Harvester,9420090326,1015701,1015701,Unit 1B 12 New Square Shopping Centre,B70 7PP,West Bromwich,,,A,Harvester,122
Harvester,9429079809,1081529,1081529,Unit 2a,TF3 4AQ,Telford,,,A,Harvester,122
Harvester,9420085896,1007761,1007761,Unit E2/E1 Whiteley Bay,PO15 7LJ,Fareham,,,A,Harvester,122
Harvester,9421711615,1027783,1027783,Broadfields Retail Park,HP19 8BU,Aylesbury,,,A,Harvester,122
Harvester,9442951257,2201719,2201719,Unit RU4a The Croft Retail & Leisure Park,CH62 3PN,Wirral,,,A,Harvester,122
Harvester,9440949584,1092601,1092601,Unit 13 Riverside Retail Park,WA1 2GZ,Warrington,,,A,Harvester,122
Harvester,9441154424,1095758,1095758,Unit 11D Talbot Green Retail Park,CF72 8LW,Cardiff,,,A,Harvester,122
Harvester,9440867802,1087645,1087645,Unit 302 The Centre,EH54 6GS,Livingston,,,A,Harvester,122
Harvester,9441327418,1099981,1099981,1 Derby Road,NS40 2EZ,Chesterfield,,,A,Harvester,122
Harvester,9440867786,1087644,1087644,Plot A2 Milton Gate,OX14 4TX,Oxfordshire,,,A,Harvester,122
Harvester,9442824983,1104138,1104138,Preston Road North,NE29 9DN,Tyne & Wear,,,A,Harvester,122
Harvester,9442825014,2201063,2201063,Old Potts Way,SY3 7ET,SHREWSBURY,,,A,Harvester,122
Harvester,9442825022,2201067,2201067,Castle Gate,DY1 4TA,Dudley,,,A,Harvester,122
Harvester,9442825113,3001298,3001298,Esplanade Road,TQ4 6AG,Paignton,,,A,Harvester,122
Harvester,9442825139,2204156,2204156,Ryhope Road,SR2 0SP,Sunderland,,,A,Harvester,122
Harvester,9442836557,3001325,3001325,Racecourse Road,SK9 5LR,Wilmslow,,,A,Harvester,122
Harvester,9442837613,2201064,2201064,Yew Tree Drive Weston-Super-Mare,BS22 6DB,Weston-Super-Mare,,,A,Harvester,122
Harvester,9442837845,3001239,3001239,Barrowby Lane,NG31 8SR,Grantham,,,A,Harvester,122
Harvester,9442836870,2201065,2201065,Droitwich Road Worcester,WR3 7JU,Worcester,,,A,Harvester,122
Harvester,9442837290,2201058,2201058,Stratford Road,CV34 6RB,Longbridge,,,A,Harvester,122
Harvester,9442837803,3001301,3001301,Bowleaze Coveway,DT3 6PN,Weymouth,,,A,Harvester,122
Harvester,9442836722,3001248,3001248,Tallys End Chesterfield Road,S43 4TX,Chesterfield,,,A,Harvester,122
Harvester,9442836789,3001289,3001289,Ty Glas Avenue,CF14 5DX,Cardiff,,,A,Harvester,122
Harvester,9442837969,3001315,3001315,Holmes Chapel Road,CW10 0JB,Middlewich,,,A,Harvester,122
Harvester,9442837936,2204149,2204149,Gibraltar Road,HU7 3DB,Hull,,,A,Harvester,122
Harvester,9442836425,2204151,2204151,299 Low Lane,LS18 4DD,Leeds,,,A,Harvester,122
Harvester,9442836334,3003909,3003909,Eaglesham Road,G75 8LW,Glasgow,,,A,Harvester,122
