Partner Name,American Express MIDs,MasterCard MIDs,Visa MIDs,Address (Building Name/Number Street),Postcode,Town/City,County/State,Country,Action
Harvester,9422459594,,,Nacton Road,IP3 9GF,Ipswich,,UK,A
Harvester,9420090326,,,Unit 1B 12 New Square Shopping Centre,B70 7PP,West Bromwich,,UK,A
Harvester,9429079809,,,Unit 2a,TF3 4AQ,Telford,,UK,A
Harvester,9420085896,,,Unit E2/E1 Whiteley Bay,PO15 7LJ,Fareham,,UK,A
Harvester,9421711615,,,Broadfields Retail Park,HP19 8BU,Aylesbury,,UK,A
Harvester,9442951257,,,Unit RU4a The Croft Retail & Leisure Park,CH62 3PN,Wirral,,UK,A
Harvester,9440949584,,,Unit 13 Riverside Retail Park,WA1 2GZ,Warrington,,UK,A
Harvester,9441154424,,,Unit 11D Talbot Green Retail Park,CF72 8LW,Cardiff,,UK,A
Harvester,9440867802,,,Unit 302 The Centre,EH54 6GS,Livingston,,UK,A
Harvester,9441327418,,,1 Derby Road,NS40 2EZ,Chesterfield,,UK,A
Harvester,9440867786,,,Plot A2 Milton Gate,OX14 4TX,Oxfordshire,,UK,A
Harvester,9442824983,,,Preston Road North,NE29 9DN,Tyne & Wear,,UK,A
Harvester,9442825014,,,Old Potts Way,SY3 7ET,SHREWSBURY,,UK,A
Harvester,9442825022,,,Castle Gate,DY1 4TA,Dudley,,UK,A
Harvester,9442825113,,,Esplanade Road,TQ4 6AG,Paignton,,UK,A
Harvester,9442825139,,,Ryhope Road,SR2 0SP,Sunderland,,UK,A
Harvester,9442836557,,,Racecourse Road,SK9 5LR,Wilmslow,,UK,A
Harvester,9442837613,,,Yew Tree Drive Weston-Super-Mare,BS22 6DB,Weston-Super-Mare,,UK,A
Harvester,9442837845,,,Barrowby Lane,NG31 8SR,Grantham,,UK,A
Harvester,9442836870,,,Droitwich Road Worcester,WR3 7JU,Worcester,,UK,A
Harvester,9442837290,,,Stratford Road,CV34 6RB,Longbridge,,UK,A
Harvester,9442837803,,,Bowleaze Coveway,DT3 6PN,,,UK,A
Harvester,9442836722,,,Tallys End Chesterfield Road,S43 4TX,,,UK,A
Harvester,9442836789,,,Ty Glas Avenue,CF14 5DX,Cardiff,,UK,A
Harvester,9442837969,,,Holmes Chapel Road,CW10 0JB,Middlewich,,UK,A
Harvester,9442837936,,,Gibraltar Road,HU7 3DB,Hull,,UK,A
Harvester,9442836425,,,299 Low Lane,LS18 4DD,Leeds,,UK,A
Harvester,9442836334,,,Eaglesham Road,G75 8LW,Glasgow,,UK,A
